City,Area,Pop 1980,Pop 1990,Pop 2000,Growth,Food,PersRoom,Water,Elec,Phones,Vehicles
Beijing,1680,9029,10867,14366,1.899999976,52,1.200000048,88,90,2,308
Shanghai,630,11739,13447,17407,1.399999976,55,2,95,95,4,148
Cairo,21.39999962,6852,8633,10761,2.299999952,47,1.5,91,98,4,939
Bombay,60,8067,12223,18142,4.199999809,57,4.199999809,92,78,5,588
Calcutta,130,9030,10741,12675,1.799999952,60,3,51,63,2,500
Delhi,59.09999847,5559,8171,11692,3.900000095,40,3.099999905,50,81,5,1660
Jakarta,59,5985,9206,13380,4.400000095,45,3.400000095,75,94,3,1380
Tokyo,216,21854,25013,27956,1.399999976,18,0.899999976,100,100,44,4400
Lagos,40,4385,7742,13480,5.800000191,58,5.800000191,47,53,1,500
Karachi,353,5023,7943,11895,4.699999809,43,3.299999952,66,84,2,650
New York,359,15601,16056,16645,0.300000012,16,0.5,99,100,56,1780
